protein	Intercept_value	Intercept_se	Intercept_t	Intercept_p	beta_value	beta_se	beta_t	beta_p	rsquared	samples	rsquared_rank
Q12860	0.0571227362918184	0.0966817542347755	0.590832642042317	0.558540028758767	0.454576668105247	0.128837132379159	3.52830476517795	0.00122187011757351	0.268013349406222	PLA	1051
Q12864	0.697362812118121	0.0790329053613825	8.82370208876151	2.59647568749787e-10	0.91502737077642	0.0960890739442474	9.5226994414301	4.0199519175231e-11	0.727305839894213	PLA	392
Q12866	-0.047629103184984	0.127510668490622	-0.373530338667208	0.711072822931989	0.766541654929696	0.112301322841018	6.82575801902946	7.44481770687837e-08	0.578116519371814	PLA	636
Q12884	0.0106810542646662	0.0372750297194917	0.286547169648022	0.776197995735002	0.588176508262106	0.095562962385445	6.1548584679674	5.42519103024831e-07	0.527004448186724	PLA	723
Q12912	-0.249547752570616	0.250028461179768	-0.998077384443019	0.325292508741808	0.732190423988392	0.070825906720834	10.3378898751608	4.9470971352975e-12	0.758646090439871	PLA	330
Q12918	0.421674798786264	0.0744159853246042	5.66645455202816	2.3365697582153e-06	0.629851177815378	0.1103555534127	5.70747151672472	2.0664121047143e-06	0.489299557343394	PLA	776
Q12933	-0.646939389281002	0.258873658087842	-2.49905453517205	0.0174455581197502	0.908586357892543	0.0734464195185817	12.3707372510197	3.85814270232e-14	0.818215978154248	PLA	174
Q12968	-1.24678581554263	0.100964309560969	-12.3487777112935	4.05478863611045e-14	0.568867484965711	0.0724159066772297	7.85555979435917	3.80861288544646e-09	0.644759543872309	PLA	537
Q13007	-0.248941351364926	0.0746574033688496	-3.33444963435194	0.00207424992779635	0.126228966676222	0.0535282137871093	2.35817632880963	0.0242563959409942	0.140567635210707	PLA	1180
Q13043	0.292940948729603	0.27796689906308	1.05386990219697	0.299374505966522	0.928758984167285	0.095523540574746	9.72282830576765	2.38424989798867e-11	0.735477295585878	PLA	375
